pixels	vol_theo	vol_num	a_theo	a_faces	a_marching	a_conv_marching	a_porespy	a_gradient	a_conv_gradient	t_faces	t_marching	t_conv_marching	t_porespy	t_gradient	t_conv_gradient	con_s_side	con_s_edge	con_s_corner	con_p_side	con_p_edge	con_p_corner	tau_solid	tau_pore
19	0.7515308511579527	0.7508383146231229	0.324005095456877	0.44783011078834534	0.3101585422665476	0.2218179353768771	0.4650622272060432	0.273592181999675	0.20674773008153294	0.0009641647338867188	0.0014278888702392578	0.001260995864868164	0.032071828842163086	0.0005156993865966797	0.0004074573516845703	1.0	1.0	1.0	1.0	1.0	1.0	2.2596006393432617	3.2895095348358154
20	0.7515308511579525	0.736	0.3078048406840332	0.49263158440589905	0.3263927001953125	0.21639788818359376	0.4454364929199219	0.2609875192789789	0.20295973764757907	0.0010106563568115234	0.0016603469848632812	0.001333475112915039	0.031141042709350586	0.000545501708984375	0.0005021095275878906	0.0	1.0	1.0	1.0	1.0	1.0	0.0	3.1418917179107666
21	0.7515308511579526	0.7530504265198142	0.29314746731812685	0.4115646332502365	0.28645448444754884	0.20234117177376904	0.4212810589265468	0.24787416278326763	0.19058904378298658	0.0011339187622070312	0.001714944839477539	0.0015041828155517578	0.03197479248046875	0.0005972385406494141	0.0004973411560058594	1.0	1.0	1.0	1.0	1.0	1.0	2.4656589031219482	3.1750500202178955
22	0.7515308511579527	0.7498121712997746	0.27982258244003017	0.42975206673145294	0.29654616220475677	0.1954792805133593	0.4052484915007513	0.24362084689081462	0.1890412390658867	0.0011353492736816406	0.0020263195037841797	0.001539468765258789	0.032976627349853516	0.0006053447723388672	0.0005052089691162109	1.0	1.0	1.0	1.0	1.0	1.0	3.9694557189941406	3.3361165523529053
23	0.7515308511579524	0.7498972630886825	0.2676563832035071	0.38821104168891907	0.2644015679257931	0.18952700728661542	0.3890987548928454	0.2346890761558982	0.1846998720385216	0.0012998580932617188	0.0020906925201416016	0.0017962455749511719	0.03132486343383789	0.0005819797515869141	0.0006067752838134766	1.0	1.0	1.0	1.0	1.0	1.0	2.647423028945923	2.8847708702087402
24	0.7515308511579526	0.7268518518518519	0.256504033903361	0.3913043439388275	0.2665360415423358	0.1827187008327908	0.3719495843957972	0.21984600823478728	0.18139974921190744	0.001317739486694336	0.002244710922241211	0.0018310546875	0.03148317337036133	0.0005943775177001953	0.0006191730499267578	0.0	1.0	1.0	1.0	1.0	1.0	0.0	2.6008362770080566
25	0.7515308511579524	0.750208	0.2462438725472265	0.346000000834465	0.23614203125	0.1743465625	0.358768625	0.21175219012559537	0.172788412588911	0.0014431476593017578	0.002325773239135742	0.0021867752075195312	0.0319216251373291	0.0006310939788818359	0.0006031990051269531	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
50	0.7515308511579524	0.753664	0.12312193627361324	0.18925713747739792	0.133128703125	0.101610484375	0.19645828125	0.12180694922244661	0.10545055320207145	0.0048732757568359375	0.014528989791870117	0.014410257339477539	0.051714420318603516	0.002439737319946289	0.003744840621948242	1.0	1.0	1.0	1.0	1.0	1.0	3.683661937713623	2.1756341457366943
51	0.7515308511579524	0.7518073742376612	0.12070778066040515	0.17610149458050728	0.12260550741466329	0.10201675826039759	0.1940176607696135	0.11846061303582008	0.10328967183232822	0.004213571548461914	0.010622739791870117	0.011598587036132812	0.04258227348327637	0.0023145675659179688	0.003111600875854492	1.0	1.0	1.0	1.0	1.0	1.0	2.5813984870910645	2.120059013366699
100	0.7515308511579524	0.748704	0.06156096813680662	0.09318787604570389	0.0661323359375	0.05596437890625	0.103000921875	0.06372471228236616	0.0576843134209798	0.03524184226989746	0.0557866096496582	0.057532548904418945	0.11953306198120117	0.01999950408935547	0.03041839599609375	1.0	1.0	1.0	1.0	1.0	1.0	3.8482296466827393	1.876279354095459
